frequency_Hz,level_dB
0.0,-173.24022346368716
1.9801980198019802,-173.24022346368716
3.9603960396039604,-173.24022346368716
5.9405940594059405,-173.24022346368716
7.920792079207921,-173.24022346368716
9.900990099009901,-173.24022346368716
11.881188118811881,-173.24022346368716
13.861386138613861,-173.24022346368716
15.841584158415841,-173.24022346368716
17.82178217821782,-173.24022346368716
19.801980198019802,-173.24022346368716
21.78217821782178,-173.24022346368716
23.762376237623762,-173.24022346368716
25.74257425742574,-173.24022346368716
27.722772277227723,-173.24022346368716
29.7029702970297,-173.24022346368716
31.683168316831683,-173.24022346368716
33.663366336633665,-173.24022346368716
35.64356435643564,-173.24022346368716
37.62376237623762,-173.24022346368716
39.603960396039604,-173.24022346368716
41.584158415841586,-173.24022346368716
43.56435643564356,-180.78212290502793
45.54455445544554,-178.65921787709496
47.524752475247524,-178.65921787709496
49.504950495049506,-160.0
51.48514851485148,-160.0
53.46534653465346,-160.0
55.445544554455445,-160.0
57.42574257425743,-160.0
59.4059405940594,-160.0
61.386138613861384,-160.0
63.366336633663366,-160.0
65.34653465346535,-160.0
67.32673267326733,-160.0
69.30693069306932,-160.0
71.28712871287128,-160.0
73.26732673267327,-160.0
75.24752475247524,-160.0
77.22772277227723,-160.0
79.20792079207921,-160.0
81.1881188118812,-160.0
83.16831683168317,-160.0
85.14851485148516,-160.0
87.12871287128712,-160.0
89.10891089108911,-160.0
91.08910891089108,-160.0
93.06930693069307,-160.0
95.04950495049505,-160.0
97.02970297029704,-160.0
99.00990099009901,-160.0
100.990099009901,-160.0
102.97029702970296,-160.0
104.95049504950495,-160.0
106.93069306930693,-160.0
108.91089108910892,-160.0
110.89108910891089,-160.0
112.87128712871288,-160.0
114.85148514851485,-160.0
116.83168316831684,-160.0
118.8118811881188,-160.0
120.79207920792079,-160.0
122.77227722772277,-160.0
124.75247524752476,-160.0
126.73267326732673,-160.0
128.7128712871287,-160.0
130.6930693069307,-160.0
132.67326732673268,-160.0
134.65346534653466,-160.0
136.63366336633663,-160.0
138.61386138613864,-160.0
140.5940594059406,-160.0
142.57425742574256,-160.0
144.55445544554453,-160.0
146.53465346534654,-160.0
148.5148514851485,-160.0
150.4950495049505,-160.0
152.47524752475246,-160.0
154.45544554455446,-160.0
156.43564356435644,-160.0
158.41584158415841,-160.0
160.3960396039604,-160.0
162.3762376237624,-160.0
164.35643564356437,-160.0
166.33663366336634,-160.0
168.31683168316832,-160.0
170.29702970297032,-160.0
172.27722772277227,-160.0
174.25742574257424,-160.0
176.23762376237622,-160.0
178.21782178217822,-164.0782122905028
180.1980198019802,-164.0782122905028
182.17821782178217,-164.0782122905028
184.15841584158414,-164.0782122905028
186.13861386138615,-164.0782122905028
188.11881188118812,-164.0782122905028
190.0990099009901,-164.0782122905028
192.07920792079207,-164.0782122905028
194.05940594059408,-164.0782122905028
196.03960396039605,-164.0782122905028
198.01980198019803,-196.0335195530726
200.0,-196.0335195530726
201.980198019802,-196.0335195530726
203.96039603960395,-195.13966480446928
205.94059405940592,-163.6312849162011
207.9207920792079,-163.6312849162011
209.9009900990099,-163.6312849162011
211.88118811881188,-163.6312849162011
213.86138613861385,-163.6312849162011
215.84158415841583,-163.46368715083798
217.82178217821783,-163.40782122905028
219.8019801980198,-194.97206703910615
221.78217821782178,-194.97206703910615
223.76237623762376,-195.47486033519553
225.74257425742576,-195.08379888268155
227.72277227722773,-195.19553072625698
229.7029702970297,-195.19553072625698
231.68316831683168,-195.19553072625698
233.6633663366337,-160.0
235.64356435643563,-163.68715083798884
237.6237623762376,-163.68715083798884
239.60396039603958,-163.68715083798884
241.58415841584159,-163.5754189944134
243.56435643564356,-163.96648044692736
245.54455445544554,-163.40782122905028
247.5247524752475,-163.40782122905028
249.5049504950495,-163.40782122905028
251.4851485148515,-163.35195530726256
253.46534653465346,-163.35195530726256
255.44554455445544,-163.40782122905028
257.4257425742574,-163.46368715083798
259.4059405940594,-163.46368715083798
261.3861386138614,-164.0223463687151
263.36633663366337,-164.1340782122905
265.34653465346537,-164.1340782122905
267.3267326732673,-164.1340782122905
269.3069306930693,-163.79888268156424
271.2871287128713,-163.79888268156424
273.26732673267327,-163.79888268156424
275.2475247524753,-163.6312849162011
277.2277227722773,-164.46927374301677
279.2079207920792,-163.40782122905028
281.1881188118812,-163.40782122905028
283.1683168316831,-163.35195530726256
285.1485148514851,-163.35195530726256
287.1287128712871,-163.35195530726256
289.10891089108907,-163.40782122905028
291.08910891089107,-163.46368715083798
293.0693069306931,-164.46927374301677
295.049504950495,-163.68715083798884
297.029702970297,-163.68715083798884
299.00990099009897,-163.68715083798884
300.990099009901,-187.37430167597765
302.970297029703,-160.0
304.9504950495049,-160.0
306.9306930693069,-160.0
308.91089108910893,-160.0
310.8910891089109,-160.0
312.8712871287129,-160.0
314.8514851485148,-160.0
316.83168316831683,-160.0
318.81188118811883,-160.0
320.7920792079208,-160.0
322.7722772277228,-160.0
324.7524752475248,-197.0391061452514
326.73267326732673,-197.0391061452514
328.71287128712873,-197.0391061452514
330.6930693069307,-196.87150837988827
332.6732673267327,-196.81564245810057
334.6534653465347,-196.75977653631284
336.63366336633663,-196.75977653631284
338.61386138613864,-196.75977653631284
340.59405940594064,-160.0558659217877
342.5742574257426,-160.0558659217877
344.55445544554453,-160.0558659217877
346.53465346534654,-160.0558659217877
348.5148514851485,-160.0558659217877
350.4950495049505,-160.0558659217877
352.47524752475243,-160.0558659217877
354.45544554455444,-160.0558659217877
356.43564356435644,-160.0558659217877
358.4158415841584,-160.0558659217877
360.3960396039604,-160.0558659217877
362.3762376237624,-160.0558659217877
364.35643564356434,-160.0558659217877
366.33663366336634,-160.0558659217877
368.3168316831683,-160.0558659217877
370.2970297029703,-160.0558659217877
372.2772277227723,-160.0558659217877
374.25742574257424,-160.0558659217877
376.23762376237624,-160.0558659217877
378.21782178217825,-160.0558659217877
380.1980198019802,-160.0558659217877
382.1782178217822,-160.0558659217877
384.15841584158414,-160.0558659217877
386.13861386138615,-160.0558659217877
388.11881188118815,-160.0558659217877
390.0990099009901,-160.0558659217877
392.0792079207921,-160.0558659217877
394.0594059405941,-160.0558659217877
396.03960396039605,-160.0558659217877
398.01980198019805,-160.0558659217877
400.0,-160.0558659217877
401.980198019802,-160.0558659217877
403.960396039604,-160.0558659217877
405.94059405940595,-160.0558659217877
407.9207920792079,-160.0558659217877
409.9009900990099,-160.0558659217877
411.88118811881185,-160.0558659217877
413.86138613861385,-160.0558659217877
415.8415841584158,-160.0558659217877
417.8217821782178,-160.0558659217877
419.8019801980198,-160.0558659217877
421.78217821782175,-160.0558659217877
423.76237623762376,-160.0558659217877
425.74257425742576,-160.0558659217877
427.7227722772277,-160.0558659217877
429.7029702970297,-160.0558659217877
431.68316831683165,-160.0558659217877
433.66336633663366,-160.0558659217877
435.64356435643566,-160.0558659217877
437.6237623762376,-160.0558659217877
439.6039603960396,-160.0558659217877
441.5841584158416,-160.0558659217877
443.56435643564356,-160.0558659217877
445.54455445544556,-160.0558659217877
447.5247524752475,-160.0558659217877
449.5049504950495,-160.0558659217877
451.4851485148515,-160.0558659217877
453.46534653465346,-160.0558659217877
455.44554455445547,-160.0558659217877
457.42574257425747,-160.0558659217877
459.4059405940594,-160.0558659217877
461.3861386138614,-160.0558659217877
463.36633663366337,-160.0558659217877
465.34653465346537,-160.0558659217877
467.3267326732674,-160.0558659217877
469.30693069306926,-160.0558659217877
471.28712871287127,-160.0558659217877
473.26732673267327,-160.0558659217877
475.2475247524752,-160.0558659217877
477.2277227722772,-160.0558659217877
479.20792079207916,-160.0558659217877
481.18811881188117,-160.0558659217877
483.16831683168317,-160.0558659217877
485.1485148514851,-160.0558659217877
487.1287128712871,-160.0558659217877
489.1089108910891,-160.0558659217877
491.08910891089107,-160.0558659217877
493.0693069306931,-160.0558659217877
495.049504950495,-160.0558659217877
497.029702970297,-160.0558659217877
499.009900990099,-160.0558659217877
500.990099009901,-160.0558659217877
502.970297029703,-160.0558659217877
504.950495049505,-160.0558659217877
506.9306930693069,-160.0558659217877
508.91089108910893,-160.0558659217877
510.8910891089109,-160.0558659217877
512.8712871287129,-160.0558659217877
514.8514851485148,-160.0558659217877
516.8316831683169,-160.0558659217877
518.8118811881188,-160.0558659217877
520.7920792079208,-160.0558659217877
522.7722772277228,-160.0558659217877
524.7524752475248,-160.0558659217877
526.7326732673267,-160.0558659217877
528.7128712871288,-160.0558659217877
530.6930693069307,-160.0558659217877
532.6732673267327,-160.0558659217877
534.6534653465346,-160.0558659217877
536.6336633663367,-160.0558659217877
538.6138613861386,-160.0558659217877
540.5940594059406,-160.0558659217877
542.5742574257426,-160.0558659217877
544.5544554455446,-160.0558659217877
546.5346534653465,-160.0558659217877
548.5148514851486,-160.0558659217877
550.4950495049505,-160.0558659217877
552.4752475247525,-160.0558659217877
554.4554455445545,-160.0558659217877
556.4356435643565,-160.0558659217877
558.4158415841584,-160.0558659217877
560.3960396039605,-160.0558659217877
562.3762376237624,-160.0558659217877
564.3564356435643,-160.0558659217877
566.3366336633662,-160.0558659217877
568.3168316831683,-160.0558659217877
570.2970297029702,-160.0558659217877
572.2772277227722,-160.0558659217877
574.2574257425742,-160.0558659217877
576.2376237623762,-160.0558659217877
578.2178217821781,-160.0558659217877
580.1980198019802,-160.0558659217877
582.1782178217821,-160.0558659217877
584.1584158415841,-160.0558659217877
586.1386138613861,-160.0558659217877
588.1188118811881,-160.0558659217877
590.09900990099,-160.0558659217877
592.0792079207921,-160.0558659217877
594.059405940594,-160.0558659217877
596.039603960396,-160.0558659217877
598.0198019801979,-160.0558659217877
600.0,-160.0558659217877
601.980198019802,-160.0558659217877
603.9603960396039,-160.0558659217877
605.940594059406,-160.0558659217877
607.9207920792079,-160.0558659217877
609.9009900990098,-160.0558659217877
611.8811881188119,-160.0558659217877
613.8613861386139,-160.0558659217877
615.8415841584158,-160.0558659217877
617.8217821782179,-160.0558659217877
619.8019801980198,-160.0558659217877
621.7821782178218,-160.0558659217877
623.7623762376238,-160.0558659217877
625.7425742574258,-160.0558659217877
627.7227722772277,-160.0558659217877
629.7029702970297,-160.0558659217877
631.6831683168317,-160.0558659217877
633.6633663366337,-160.0558659217877
635.6435643564356,-160.0558659217877
637.6237623762377,-160.0558659217877
639.6039603960396,-160.0558659217877
641.5841584158416,-160.0558659217877
643.5643564356436,-160.0558659217877
645.5445544554456,-160.0558659217877
647.5247524752475,-160.0558659217877
649.5049504950496,-160.0558659217877
651.4851485148515,-160.0558659217877
653.4653465346535,-160.0558659217877
655.4455445544555,-160.0558659217877
657.4257425742575,-160.0558659217877
659.4059405940594,-160.0558659217877
661.3861386138614,-160.0558659217877
663.3663366336634,-160.0558659217877
665.3465346534654,-160.0558659217877
667.3267326732673,-160.0558659217877
669.3069306930694,-160.0558659217877
671.2871287128713,-160.0558659217877
673.2673267326733,-160.0558659217877
675.2475247524753,-160.0558659217877
677.2277227722773,-160.0558659217877
679.2079207920792,-160.0558659217877
681.1881188118813,-160.0558659217877
683.1683168316832,-160.0558659217877
685.1485148514852,-160.0558659217877
687.1287128712872,-160.0558659217877
689.1089108910891,-160.0558659217877
691.089108910891,-160.0558659217877
693.0693069306931,-160.0558659217877
695.049504950495,-160.0558659217877
697.029702970297,-160.0558659217877
699.0099009900989,-160.0558659217877
700.990099009901,-160.0558659217877
702.9702970297029,-160.0558659217877
704.9504950495049,-160.0558659217877
706.9306930693069,-160.0558659217877
708.9108910891089,-160.0558659217877
710.8910891089108,-160.0558659217877
712.8712871287129,-160.0558659217877
714.8514851485148,-160.0558659217877
716.8316831683168,-160.0558659217877
718.8118811881188,-160.0558659217877
720.7920792079208,-160.0558659217877
722.7722772277227,-160.0558659217877
724.7524752475248,-160.0558659217877
726.7326732673267,-160.0558659217877
728.7128712871287,-160.0558659217877
730.6930693069306,-160.0558659217877
732.6732673267327,-160.0558659217877
734.6534653465346,-160.0558659217877
736.6336633663366,-160.0558659217877
738.6138613861386,-160.0558659217877
740.5940594059406,-160.0558659217877
742.5742574257425,-160.0558659217877
744.5544554455446,-160.0558659217877
746.5346534653465,-160.0558659217877
748.5148514851485,-160.0558659217877
750.4950495049505,-160.0558659217877
752.4752475247525,-160.0558659217877
754.4554455445544,-160.0558659217877
756.4356435643565,-160.0558659217877
758.4158415841584,-160.0558659217877
760.3960396039604,-160.0558659217877
762.3762376237623,-160.0558659217877
764.3564356435644,-160.0558659217877
766.3366336633663,-160.0558659217877
768.3168316831683,-160.0558659217877
770.2970297029703,-160.0558659217877
772.2772277227723,-160.0558659217877
774.2574257425742,-160.0558659217877
776.2376237623763,-160.0558659217877
778.2178217821782,-160.0558659217877
780.1980198019802,-160.0558659217877
782.1782178217823,-160.0558659217877
784.1584158415842,-160.0558659217877
786.1386138613861,-160.0558659217877
788.1188118811882,-160.0558659217877
790.0990099009902,-160.0558659217877
792.0792079207921,-160.0558659217877
794.059405940594,-160.0558659217877
796.0396039603961,-160.0558659217877
798.019801980198,-160.0558659217877
800.0,-160.0558659217877
801.9801980198021,-160.0558659217877
803.960396039604,-160.0558659217877
805.940594059406,-160.0558659217877
807.920792079208,-160.0558659217877
809.90099009901,-160.0558659217877
811.8811881188119,-160.0558659217877
813.8613861386139,-160.0558659217877
815.8415841584158,-160.0558659217877
817.8217821782177,-160.0558659217877
819.8019801980198,-160.0558659217877
821.7821782178218,-160.0558659217877
823.7623762376237,-160.0558659217877
825.7425742574256,-160.0558659217877
827.7227722772277,-160.0558659217877
829.7029702970297,-160.0558659217877
831.6831683168316,-160.0558659217877
833.6633663366337,-160.0558659217877
835.6435643564356,-160.0558659217877
837.6237623762376,-160.0558659217877
839.6039603960396,-160.0558659217877
841.5841584158416,-160.0558659217877
843.5643564356435,-160.0558659217877
845.5445544554456,-160.0558659217877
847.5247524752475,-160.0558659217877
849.5049504950495,-160.0558659217877
851.4851485148515,-160.0558659217877
853.4653465346535,-160.0558659217877
855.4455445544554,-160.0558659217877
857.4257425742574,-160.0558659217877
859.4059405940594,-160.0558659217877
861.3861386138614,-160.0558659217877
863.3663366336633,-160.0558659217877
865.3465346534654,-160.0558659217877
867.3267326732673,-160.0558659217877
869.3069306930693,-160.0558659217877
871.2871287128713,-160.0558659217877
873.2673267326733,-160.0558659217877
875.2475247524752,-160.0558659217877
877.2277227722773,-160.0558659217877
879.2079207920792,-160.0558659217877
881.1881188118812,-160.0558659217877
883.1683168316832,-160.0558659217877
885.1485148514852,-160.0558659217877
887.1287128712871,-160.0558659217877
889.1089108910891,-160.0558659217877
891.0891089108911,-160.0558659217877
893.0693069306931,-160.0558659217877
895.049504950495,-160.0558659217877
897.0297029702971,-160.0558659217877
899.009900990099,-160.0558659217877
900.990099009901,-160.0558659217877
902.970297029703,-160.0558659217877
904.950495049505,-160.0558659217877
906.9306930693069,-160.0558659217877
908.910891089109,-160.0558659217877
910.8910891089109,-160.0558659217877
912.8712871287129,-160.0558659217877
914.8514851485149,-160.0558659217877
916.8316831683169,-160.0558659217877
918.8118811881188,-160.0558659217877
920.7920792079208,-160.0558659217877
922.7722772277228,-160.0558659217877
924.7524752475248,-160.0558659217877
926.7326732673267,-160.0558659217877
928.7128712871288,-160.0558659217877
930.6930693069307,-160.0558659217877
932.6732673267327,-160.0558659217877
934.6534653465347,-160.0558659217877
936.6336633663367,-160.0558659217877
938.6138613861385,-160.0558659217877
940.5940594059406,-160.0558659217877
942.5742574257425,-160.0558659217877
944.5544554455445,-160.0558659217877
946.5346534653465,-160.0558659217877
948.5148514851485,-160.0558659217877
950.4950495049504,-160.0558659217877
952.4752475247524,-160.0558659217877
954.4554455445544,-160.0558659217877
956.4356435643564,-160.0558659217877
958.4158415841583,-160.0558659217877
960.3960396039604,-160.0558659217877
962.3762376237623,-160.0558659217877
964.3564356435643,-160.0558659217877
966.3366336633663,-160.0558659217877
968.3168316831683,-160.0558659217877
970.2970297029702,-160.0558659217877
972.2772277227723,-160.0558659217877
974.2574257425742,-160.0558659217877
976.2376237623762,-160.0558659217877
978.2178217821782,-160.0558659217877
980.1980198019802,-160.0558659217877
982.1782178217821,-160.0558659217877
984.1584158415842,-160.0558659217877
986.1386138613861,-160.0558659217877
988.1188118811881,-160.0558659217877
990.09900990099,-160.0558659217877
992.0792079207921,-160.0558659217877
994.059405940594,-160.0558659217877
996.039603960396,-160.0558659217877
998.019801980198,-160.0558659217877
1000.0,-160.0558659217877
1001.980198019802,-160.0558659217877
1003.960396039604,-160.0558659217877
1005.940594059406,-160.0558659217877
1007.9207920792079,-160.0558659217877
1009.90099009901,-160.0558659217877
1011.8811881188119,-160.0558659217877
1013.8613861386139,-160.0558659217877
1015.8415841584158,-160.0558659217877
1017.8217821782179,-160.0558659217877
1019.8019801980198,-160.0558659217877
1021.7821782178218,-160.0558659217877
1023.7623762376238,-160.0558659217877
1025.7425742574258,-160.0558659217877
1027.7227722772277,-160.0558659217877
1029.7029702970297,-160.0558659217877
